"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"1",1,0.618090452261307,0.554142261464982,0.689418284334787,0.481120469352075,0.37190710315246,0.59033383555169,"Move","C. albimarginatus"
"2",2,0.386934673366834,0.324851920379043,0.460882119086151,0.474749701435404,0.387306487827782,0.562192915043026,"Move","C. albimarginatus"
"3",3,0.316582914572864,0.258126209320288,0.388278052288324,0.383390032777653,0.31534452213539,0.451435543419917,"Move","C. albimarginatus"
"4",4,0.236180904522613,0.183963871808129,0.30321942625397,0.360789305753608,0.298324639126972,0.423253972380245,"Move","C. albimarginatus"
"5",5,0.175879396984925,0.130196633271381,0.237591107439031,0.347591352647016,0.287440823759489,0.407741881534542,"Move","C. albimarginatus"
"6",6,0.155778894472362,0.112730098566345,0.215266945311409,0.309886270039891,0.255979402485055,0.363793137594727,"Move","C. albimarginatus"
"7",7,0.125628140703518,0.0870760809683901,0.181248737438609,0.29634699997947,0.243983564446795,0.348710435512146,"Move","C. albimarginatus"
"8",8,0.110552763819095,0.0745448985756693,0.163953722140147,0.275282796420772,0.226021384131383,0.324544208710161,"Move","C. albimarginatus"
"9",9,0.100502512562814,0.0663223980573993,0.152297795726518,0.255285839018945,0.209101943602155,0.301469734435735,"Move","C. albimarginatus"
"10",10,0.0904522613065327,0.0582207840826822,0.140527334084786,0.240293306682833,0.196235326048431,0.284351287317235,"Move","C. albimarginatus"
"11",11,0.0804020100502512,0.0502574612367398,0.128627333355927,0.229156009316792,0.186439631293386,0.271872387340198,"Move","C. albimarginatus"
"12",12,0.0653266331658291,0.0386234312492559,0.110491710931691,0.227362955605246,0.18356789791924,0.271158013291253,"Move","C. albimarginatus"
"13",13,0.0603015075376884,0.0348442645937178,0.104357829149693,0.216030628841269,0.173840740037325,0.258220517645212,"Move","C. albimarginatus"
"14",17,0.050251256281407,0.027467787856211,0.0919327312078631,0.175924690101791,0.140394008935332,0.21145537126825,"Move","C. albimarginatus"
"15",18,0.0402010050251256,0.0203893282448249,0.0792630726046783,0.178547960169148,0.140832384768106,0.216263535570189,"Move","C. albimarginatus"
"16",24,0.0351758793969849,0.016991438090388,0.072821528393832,0.139474778152882,0.109155985325019,0.169793570980746,"Move","C. albimarginatus"
"17",25,0.0251256281407035,0.0105745214075221,0.0596998355893296,0.147354676491616,0.112737040501398,0.181972312481833,"Move","C. albimarginatus"
"18",26,0.0201005025125628,0.0076191276757686,0.0530284067220053,0.150269633215562,0.112958751274111,0.187580515157012,"Move","C. albimarginatus"
"19",27,0.0150753768844221,0.00490393988739547,0.0463437549044004,0.155358982816903,0.113765508659902,0.196952456973904,"Move","C. albimarginatus"
"20",33,0.0050251256281407,0.000711355627098819,0.0354982608088494,0.160403176506803,0.101159744696997,0.219646608316609,"Move","C. albimarginatus"
"21",55,0,NA,NA,Inf,NA,NA,"Move","C. albimarginatus"
"22",1,0.635455680399501,0.602983642123632,0.669676411668227,0.453412930517836,0.400960650922933,0.50586521011274,"Leave","C. albimarginatus"
"23",2,0.431960049937578,0.398982942845024,0.467662811376254,0.419711086005317,0.380003865626677,0.459418306383958,"Leave","C. albimarginatus"
"24",3,0.352059925093633,0.320490509160888,0.386739036926403,0.347984625376749,0.316668378866028,0.379300871887469,"Leave","C. albimarginatus"
"25",4,0.299625468164794,0.269523285362219,0.3330896662688,0.301305505931592,0.27483588929334,0.327775122569844,"Leave","C. albimarginatus"
"26",5,0.258426966292135,0.22982124604885,0.290593224321657,0.270628430760598,0.247166168857103,0.294090692664093,"Leave","C. albimarginatus"
"27",6,0.222222222222222,0.195218491185415,0.252961262785706,0.250679566129379,0.229086485582722,0.272272646676036,"Leave","C. albimarginatus"
"28",7,0.193508114856429,0.167996192525147,0.222894280831299,0.234633690021302,0.214436813845962,0.254830566196641,"Leave","C. albimarginatus"
"29",8,0.16729088639201,0.143341400158516,0.19524185363667,0.223502643389681,0.204189526733035,0.242815760046327,"Leave","C. albimarginatus"
"30",9,0.14481897627965,0.122388262416784,0.17136068015465,0.214696750662444,0.195998300348236,0.233395200976652,"Leave","C. albimarginatus"
"31",10,0.132334581772784,0.110831151031865,0.158010102484117,0.202242185295629,0.184509630822634,0.219974739768625,"Leave","C. albimarginatus"
"32",11,0.119850187265918,0.0993425805246561,0.14459124488024,0.192864795963684,0.175804047113951,0.209925544813417,"Leave","C. albimarginatus"
"33",12,0.113607990012484,0.0936267842030733,0.137853451921219,0.181250120045959,0.165130341723779,0.197369898368139,"Leave","C. albimarginatus"
"34",13,0.108614232209738,0.0890690355427374,0.132448402148133,0.170765602185675,0.155504779011429,0.186026425359921,"Leave","C. albimarginatus"
"35",14,0.101123595505618,0.0822591101753373,0.124314274080852,0.163672270885423,0.148924460809408,0.178420080961438,"Leave","C. albimarginatus"
"36",15,0.0923845193508115,0.0743584810640222,0.114780443246709,0.158786390257613,0.144315610973504,0.173257169541721,"Leave","C. albimarginatus"
"37",16,0.0873907615480649,0.0698673992211593,0.109309138297477,0.152335356563688,0.138348454988459,0.166322258138916,"Leave","C. albimarginatus"
"38",17,0.0848938826466916,0.067628806598758,0.106566590086222,0.14507960246425,0.131705013541181,0.158454191387319,"Leave","C. albimarginatus"
"39",18,0.0786516853932584,0.0620540927550596,0.0996886319749751,0.141262567815379,0.128094646157366,0.154430489473393,"Leave","C. albimarginatus"
"40",19,0.0711610486891386,0.055409402828345,0.0913905328708486,0.139095246275464,0.12592702026212,0.152263472288807,"Leave","C. albimarginatus"
"41",20,0.0649188514357054,0.0499144424913009,0.0844336240450985,0.136730861424347,0.123589478377809,0.149872244470884,"Leave","C. albimarginatus"
"42",21,0.0599250936329588,0.0455497960521779,0.0788371663136609,0.134031425531451,0.120970035218348,0.147092815844554,"Leave","C. albimarginatus"
