"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"1",1,0.618181818181818,0.533744036473327,0.715977573924006,0.48097266061631,0.334106433847202,0.627838887385417,"Move","C. amblyrhinchos"
"2",2,0.427272727272727,0.344145470431156,0.530479111761532,0.425166382041179,0.316987348164061,0.533345415918296,"Move","C. amblyrhinchos"
"3",3,0.372727272727273,0.292486377842842,0.474981504640733,0.328969433029369,0.24815980443468,0.409779061624059,"Move","C. amblyrhinchos"
"4",4,0.281818181818182,0.209126784217094,0.379776736397661,0.316623290326818,0.242042933681031,0.391203646972604,"Move","C. amblyrhinchos"
"5",5,0.245454545454545,0.176878442232873,0.34061773228971,0.280928699957617,0.215398890037887,0.346458509877348,"Move","C. amblyrhinchos"
"6",6,0.227272727272727,0.161026642605663,0.320772337584382,0.246934090154036,0.189503939363812,0.30436424094426,"Move","C. amblyrhinchos"
"7",8,0.209090909090909,0.14537502744561,0.300732588207555,0.195623268732908,0.150191727546878,0.241054809918939,"Move","C. amblyrhinchos"
"8",9,0.181818181818182,0.122313198032638,0.270272151913225,0.189416454693158,0.145369539732831,0.233463369653485,"Move","C. amblyrhinchos"
"9",12,0.172727272727273,0.114748174944319,0.260001614476909,0.146336782218831,0.11225561987161,0.180417944566053,"Move","C. amblyrhinchos"
"10",13,0.163636363636364,0.10725010153737,0.249667451315206,0.139239123684327,0.106740418565648,0.171737828803006,"Move","C. amblyrhinchos"
"11",14,0.145454545454545,0.0924721929583497,0.2287933714616,0.137706545968045,0.105352570770055,0.170060521166035,"Move","C. amblyrhinchos"
"12",15,0.136363636363636,0.0852026687328264,0.218244822596148,0.132828677646014,0.101475853793215,0.164181501498812,"Move","C. amblyrhinchos"
"13",18,0.127272727272727,0.0780209993089945,0.207615222195323,0.114523502009842,0.0873371558743467,0.141709848145337,"Move","C. amblyrhinchos"
"14",20,0.118181818181818,0.0709346695793409,0.19689867072882,0.106776550416544,0.0812533022178093,0.132299798615279,"Move","C. amblyrhinchos"
"15",21,0.109090909090909,0.0639525307151063,0.18608843642633,0.105503510285925,0.0800730120766072,0.130934008495242,"Move","C. amblyrhinchos"
"16",23,0.1,0.057085176975277,0.175176823999878,0.100112395347567,0.0757373648841629,0.124487425810972,"Move","C. amblyrhinchos"
"17",34,0.0818181818181818,0.0437492822039219,0.153013136188848,0.0736251702487117,0.0552126912891703,0.0920376492082531,"Move","C. amblyrhinchos"
"18",40,0.0727272727272727,0.0373166050102829,0.141740016190905,0.0655259706028145,0.0488440192842606,0.0822079219213684,"Move","C. amblyrhinchos"
"19",65,0.0636363636363636,0.0310732254968111,0.13032399154298,0.042378003334417,0.0313497182519163,0.0534062884169176,"Move","C. amblyrhinchos"
"20",148,0.0545454545454545,0.0250534299612812,0.118754462609242,0.0196535195713808,0.014396603087204,0.0249104360555577,"Move","C. amblyrhinchos"
"21",151,0.0454545454545454,0.0193045905962471,0.107027170153041,0.020470479823565,0.0147991559608623,0.0261418036862677,"Move","C. amblyrhinchos"
"22",215,0.0363636363636364,0.0138955706450498,0.0951608309845009,0.0154148186263838,0.0109404040050586,0.0198892332477091,"Move","C. amblyrhinchos"
"23",227,0.0272727272727273,0.00893377333326822,0.0832572783241254,0.0158672602516489,0.010950747694389,0.0207837728089088,"Move","C. amblyrhinchos"
"24",313,0.0181818181818182,0.00460514976043942,0.0717845302744617,0.012802981422468,0.00841561112437486,0.0171903517205611,"Move","C. amblyrhinchos"
"25",395,0.00909090909090909,0.00129206303901136,0.0639633095320255,0.0118999502931454,0.00696062189513237,0.0168392786911583,"Move","C. amblyrhinchos"
"26",628,0,NA,NA,Inf,NA,NA,"Move","C. amblyrhinchos"
"27",1,0.675078864353312,0.645959319750881,0.705511104433502,0.392925758855429,0.348832768006615,0.437018749704244,"Leave","C. amblyrhinchos"
"28",2,0.534174553101998,0.503393258921704,0.566838049823986,0.313516307483454,0.283840821233051,0.343191793733858,"Leave","C. amblyrhinchos"
"29",3,0.441640378548896,0.411180815724084,0.474356333043744,0.272419783755992,0.248598827412974,0.29624074009901,"Leave","C. amblyrhinchos"
"30",4,0.377497371188223,0.347911566219679,0.409599102445587,0.243547918514278,0.223144099138549,0.263951737890007,"Leave","C. amblyrhinchos"
"31",5,0.333333333333333,0.304679672018044,0.364681734016475,0.219722457733622,0.201746053475599,0.237698861991645,"Leave","C. amblyrhinchos"
"32",6,0.299684542586751,0.271937905049415,0.330262252513529,0.200837480379457,0.184644705924275,0.217030254834639,"Leave","C. amblyrhinchos"
"33",7,0.271293375394322,0.244456537742181,0.301076404880068,0.186364925374825,0.171484458519074,0.201245392230575,"Leave","C. amblyrhinchos"
"34",8,0.251314405888538,0.22520401520583,0.28045206276355,0.172631313826735,0.158919058482876,0.186343569170594,"Leave","C. amblyrhinchos"
"35",9,0.220820189274448,0.195970018059143,0.248821510933816,0.16782294798088,0.154557718124139,0.181088177837621,"Leave","C. amblyrhinchos"
"36",10,0.195583596214511,0.171931144705367,0.222489899510375,0.163176738883219,0.150287357386523,0.176066120379914,"Leave","C. amblyrhinchos"
"37",11,0.177707676130389,0.154999888777991,0.203742198814709,0.157055940692938,0.144627255965467,0.169484625420409,"Leave","C. amblyrhinchos"
"38",12,0.16403785488959,0.142112824013108,0.189345458607565,0.150638171274654,0.138681842419861,0.162594500129448,"Leave","C. amblyrhinchos"
"39",13,0.152471083070452,0.131253461003119,0.177118614587422,0.14467540924037,0.133148894764549,0.156201923716192,"Leave","C. amblyrhinchos"
"40",14,0.143007360672976,0.122402071768857,0.167081364809496,0.138918512629238,0.127805312199119,0.150031713059358,"Leave","C. amblyrhinchos"
"41",15,0.137749737118822,0.117498648167598,0.16149113519365,0.132154449289616,0.121553668551184,0.142755230028048,"Leave","C. amblyrhinchos"
"42",16,0.128286014721346,0.108699581774963,0.151401700948182,0.128343313613258,0.117988668952841,0.138697958273676,"Leave","C. amblyrhinchos"
"43",17,0.1198738170347,0.100909673109793,0.142401928057323,0.124783271420641,0.114653043551031,0.134913499290251,"Leave","C. amblyrhinchos"
"44",18,0.115667718191377,0.0970266892624737,0.13789011181663,0.119835205375165,0.110072122345389,0.129598288404941,"Leave","C. amblyrhinchos"
"45",19,0.108307045215563,0.0902521147457704,0.129973863508563,0.116988688121882,0.107390626245996,0.126586749997767,"Leave","C. amblyrhinchos"
