"","time","surv","lower","upper","rho","rho.up","rho.lo","type","species"
"1",1,0.385309278350515,0.352545351070649,0.421118132836315,0.953708946792532,0.864841884099411,1.04257600948565,"Move","C. leucas"
"2",2,0.201030927835052,0.174721502944529,0.231302004991637,0.802148256466841,0.732015520711225,0.872280992222457,"Move","C. leucas"
"3",3,0.114690721649485,0.0943262869328401,0.139451705989923,0.721838716817026,0.656678977093395,0.786998456540657,"Move","C. leucas"
"4",4,0.0760309278350515,0.0594934727254532,0.097165314489797,0.644153769069375,0.582835369503377,0.705472168635373,"Move","C. leucas"
"5",5,0.0463917525773196,0.0337212496725998,0.0638231005105367,0.614126716345422,0.550328015439556,0.677925417251288,"Move","C. leucas"
"6",6,0.038659793814433,0.027219849714311,0.0549077115950675,0.542159189753511,0.483683579019764,0.600634800487257,"Move","C. leucas"
"7",7,0.0244845360824742,0.0157042907295616,0.0381738034208385,0.529959077288111,0.466515110420568,0.593403044155654,"Move","C. leucas"
"8",8,0.0193298969072165,0.011710751496147,0.031906143219464,0.493262789885126,0.430619588789916,0.555905990980337,"Move","C. leucas"
"9",9,0.0141752577319588,0.00788332720222957,0.025488975227443,0.47291747193165,0.407723251591914,0.538111692271386,"Move","C. leucas"
"10",10,0.00644329896907216,0.00268947643942385,0.015436499459999,0.504471460774912,0.41710204790021,0.591840873649613,"Move","C. leucas"
"11",11,0.00515463917525773,0.00193952697815444,0.0136993737784379,0.478896196278484,0.390036832435986,0.567755560120982,"Move","C. leucas"
"12",14,0.00257731958762887,0.000645734549184922,0.0102868528022235,0.425786095687377,0.326920616145852,0.524651575228902,"Move","C. leucas"
"13",19,0.00128865979381443,0.000181754581490362,0.00913673840063239,0.350218553693854,0.247129042428839,0.453308064958868,"Move","C. leucas"
"14",21,0,NA,NA,Inf,NA,NA,"Move","C. leucas"
"15",1,0.375430539609644,0.344610961306282,0.409006404025313,0.979681805955249,0.894024465298315,1.06533914661218,"Leave","C. leucas"
"16",2,0.198622273249139,0.173817974932169,0.226966212476304,0.808175191177362,0.741477058147892,0.874873324206832,"Leave","C. leucas"
"17",3,0.129735935706085,0.109234698566413,0.154084857965715,0.680751386046721,0.623417267525352,0.73808550456809,"Leave","C. leucas"
"18",4,0.0826636050516647,0.0662574779528189,0.103132081257356,0.623243964459112,0.567936192486686,0.678551736431538,"Leave","C. leucas"
"19",5,0.052812858783008,0.0398653782413563,0.0699654230281562,0.588200116072682,0.531950823142045,0.644449409003318,"Leave","C. leucas"
"20",6,0.0401836969001148,0.0290463127362557,0.0555915482705929,0.535715652560515,0.481620683133655,0.589810621987375,"Leave","C. leucas"
"21",7,0.0298507462686567,0.0204423712032499,0.0435892218146426,0.501649348404432,0.447563623610541,0.555735073198322,"Leave","C. leucas"
"22",8,0.0195177956371986,0.0121901398488134,0.0312502031363102,0.492053579099536,0.433216175307366,0.550890982891706,"Leave","C. leucas"
"23",9,0.0126291618828932,0.00702026288744517,0.022719338637526,0.485749633783792,0.420504310535188,0.550994957032397,"Leave","C. leucas"
"24",10,0.0114810562571757,0.00619951823464385,0.0212620800183847,0.446705688385846,0.3850830073677,0.508328369403991,"Leave","C. leucas"
"25",12,0.0103329506314581,0.00539461203690367,0.0197919457454502,0.381034783293024,0.326873350381009,0.435196216205038,"Leave","C. leucas"
"26",13,0.00574052812858783,0.00239539500460179,0.0137570893868447,0.396938774186031,0.329707768920831,0.464169779451231,"Leave","C. leucas"
"27",14,0.00114810562571757,0.000161908286553904,0.00814131602439926,0.483545855489464,0.34362881701974,0.623462893959189,"Leave","C. leucas"
"28",15,0,NA,NA,Inf,NA,NA,"Leave","C. leucas"
"29",1,0.613483146067416,0.582311188180771,0.646323783825252,0.488602486981281,0.43645468741321,0.540750286549352,"Back","C. leucas"
"30",2,0.460674157303371,0.429063682638189,0.494613475329086,0.387532151513916,0.351989339681416,0.423074963346416,"Back","C. leucas"
"31",3,0.375280898876404,0.344781083754318,0.408478770145749,0.326693489916495,0.298438445433342,0.354948534399648,"Back","C. leucas"
"32",4,0.312359550561798,0.283348326619488,0.344341150665041,0.290900087258887,0.266530598996419,0.315269575521355,"Back","C. leucas"
"33",5,0.266292134831461,0.238779728221595,0.296974544703764,0.264632264318211,0.242821770384143,0.286442758252278,"Back","C. leucas"
"34",6,0.225842696629213,0.199976930603842,0.255054037816975,0.247986092444518,0.227713307211059,0.268258877677977,"Back","C. leucas"
"35",7,0.207865168539326,0.18284491591905,0.236309158910448,0.224409376806837,0.206087762266944,0.242730991346731,"Back","C. leucas"
"36",8,0.192134831460674,0.167918926098941,0.219842958253975,0.206194738277941,0.189355226705405,0.223034249850476,"Back","C. leucas"
"37",9,0.169662921348315,0.146712236253946,0.196203858760759,0.197104625101251,0.180955673839805,0.213253576362698,"Back","C. leucas"
"38",10,0.155056179775281,0.13300993720554,0.180756561439102,0.186396777756898,0.171060411741762,0.201733143772035,"Back","C. leucas"
"39",11,0.146067415730337,0.124613619373582,0.171214752010182,0.174880637479146,0.160439695518454,0.189321579439837,"Back","C. leucas"
"40",12,0.135955056179775,0.115203513413355,0.160444562437304,0.166285909760787,0.152483900121108,0.180087919400466,"Back","C. leucas"
"41",13,0.12247191011236,0.10272159754004,0.146019621245895,0.161528736961311,0.148001098016034,0.175056375906588,"Back","C. leucas"
"42",14,0.119101123595506,0.0996137508764798,0.142400798252254,0.151984454901008,0.139222119593996,0.164746790208021,"Back","C. leucas"
"43",15,0.112359550561798,0.0934145054271752,0.135146769173779,0.14573675178254,0.13342626080199,0.158047242763089,"Back","C. leucas"
"44",16,0.104494382022472,0.0862117156247973,0.126654200013596,0.141163873098308,0.129143421294923,0.153184324901693,"Back","C. leucas"
"45",17,0.103370786516854,0.0851855194501807,0.12543821501684,0.133496052098656,0.12211423248575,0.144877871711561,"Back","C. leucas"
"46",18,0.102247191011236,0.0841600460416971,0.124221510816528,0.126686775344963,0.115871607194399,0.137501943495527,"Back","C. leucas"
"47",19,0.098876404494382,0.0810880681153448,0.12056697850823,0.121783402539367,0.111344728538406,0.132222076540329,"Back","C. leucas"
"48",20,0.0966292134831461,0.0790438956137142,0.118126830995301,0.116843708323634,0.106799819639952,0.126887597007316,"Back","C. leucas"
"49",21,0.0943820224719101,0.0770028827201282,0.115683541332663,0.112400222089661,0.102709376564774,0.122091067614547,"Back","C. leucas"
"50",23,0.0887640449438202,0.0719148443440676,0.109560908414015,0.105294504793877,0.0961423757889785,0.114446633798775,"Back","C. leucas"
"51",24,0.0842696629213483,0.0678602505701944,0.104647065538493,0.103072222882911,0.0940484113002,0.112096034465623,"Back","C. leucas"
"52",25,0.0808988764044944,0.0648292021715404,0.100951854785939,0.100582213748405,0.0917244624431662,0.109439965053644,"Back","C. leucas"
"53",26,0.0797752808988764,0.0638208305721071,0.0997181544872601,0.0972515994494181,0.0886695202863417,0.105833678612494,"Back","C. leucas"
"54",27,0.0786516853932584,0.0628134791166958,0.0984834418056591,0.0941750452102528,0.0858469203122562,0.10250317010825,"Back","C. leucas"
"55",28,0.0730337078651685,0.0577927389053537,0.0922939903102718,0.0934583640296624,0.0850991517853938,0.101817576273931,"Back","C. leucas"
"56",29,0.0719101123595506,0.0567919478672125,0.0910527716297715,0.0907702889436729,0.0826315873285344,0.0989089905588114,"Back","C. leucas"
